	Organization	Operating	Peak Size	Econ.a	Regimeb	Typec	Goald	Endede
0	Arizona Patriots (U.S.)	1984–1986	10s	H	F	RW	RC	PO
1	Armata Corsa (France)	1999–	10s	H	F	N	TC	—
2	Armata di Liberzione Naziunale (France)	2002–2003	10s	H	F	N	TC	V
3	Armed Commandos of Liberation (Puerto Rico)	1968–1972	10s	UM	F	N	RC	S
4	Armed Communist League (Mexico)	1972	10s	LM	PF	LW	RC	S
5	Armed Forces of National Liberation (Puerto Rico, U.S.)	1974–1985	10s	H	F	N	RC	PO
6	Armed Forces of National Resistance (El Salvador)	1975–1991	100s	LM	PF	LW	PC	PT
7	Armed Islamic Group (Algeria)	1992–2005	1,000s	LM	NF	R	RC	MF
8	Armed Revolutionary Action (Mozambique, Portugal)	1960–1974	100s	UM	PF	N	RC	V
9	Armed Revolutionary Left (Ecuador)	2004–	10s	LM	PF	LW	PC	—
10	Armenian Red Army (Lebanon, Netherlands)	1982	10s	LM	PF	N	TC	PO
11	Armenian Resistance Group (Belgium, Netherlands, Armenia)	1995	10s	H	F	N	TC	V
12	Armenian Revolutionary Army (Belgium, Portugal, U.S.,	1970–1985	100s	H	F	N	TC	S
13	Austria, Canada, Turkey, Armenia)							
14	Armenian Secret Army for the Liberation of Armenia	1980–1997	100s	UM	NF	N	TC	V
